Federal Information Processing Standards (FIPS) Code,State,Area name,2003 Rural-Uban Continuum Code,2003 Urban Influence Code,2013 Rural-Urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 2016-20","High school diploma only, 2016-20","Some college or associate's degree, 2016-20","Bachelor's degree or higher, 2016-20","Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000,US,United States,,,,,"25,562,680","59,421,420","64,496,416","73,356,320",11.5,26.7,28.9,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,AL,Alabama,,,,,"438,947","1,014,342","1,013,673","877,044",13.1,30.3,30.3,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,AL,Autauga County,2,2,2,2,"4,273","11,880","10,986","10,721",11.3,31.4,29.0,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,AL,Baldwin County,4,5,3,2,"14,823","42,272","48,832","49,636",9.5,27.2,31.4,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,AL,Barbour County,6,6,6,6,"4,497","6,361","4,872","2,067",25.3,35.7,27.4,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,AL,Bibb County,1,1,1,1,"3,056","7,206","3,911","1,814",19.1,45.1,24.5,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,AL,Blount County,1,1,1,1,"6,838","13,975","13,725","5,276",17.2,35.1,34.5,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,AL,Bullock County,6,6,6,6,"1,700","2,809","1,578",697,25.1,41.4,23.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,AL,Butler County,6,6,6,6,"1,886","6,425","3,304","2,205",13.6,46.5,23.9,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,AL,Calhoun County,3,2,3,2,"11,787","27,203","25,087","14,890",14.9,34.4,31.8,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,AL,Chambers County,6,5,6,5,"4,140","8,829","7,369","3,433",17.4,37.1,31.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,AL,Cherokee County,8,6,6,6,"3,288","7,495","5,884","2,476",17.2,39.2,30.7,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,AL,Chilton County,1,1,1,1,"5,485","13,070","7,491","4,107",18.2,43.3,24.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,AL,Choctaw County,9,10,9,10,"1,603","3,346","3,062","1,252",17.3,36.1,33.1,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,AL,Clarke County,7,11,7,11,"2,904","6,942","4,554","2,303",17.4,41.6,27.3,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,AL,Clay County,9,10,9,10,"1,756","3,751","2,760","1,104",18.7,40.0,29.5,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,AL,Cleburne County,8,4,8,4,"1,877","4,044","2,929","1,688",17.8,38.4,27.8,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,AL,Coffee County,6,5,4,5,"5,158","9,876","13,094","7,808",14.4,27.5,36.4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,AL,Colbert County,3,2,3,2,"5,590","14,452","12,247","6,788",14.3,37.0,31.3,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01035,AL,Conecuh County,9,11,7,11,"1,328","4,125","2,152","1,221",15.0,46.7,24.4,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,AL,Coosa County,8,7,8,3,"1,394","3,482","2,448",957,16.8,42.0,29.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,AL,Covington County,7,9,6,6,"3,864","9,823","8,562","4,117",14.7,37.3,32.5,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,AL,Crenshaw County,8,6,8,6,"2,051","3,697","2,144","1,792",21.2,38.2,22.1,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,AL,Cullman County,6,3,4,3,"10,302","18,747","20,081","8,954",17.7,32.3,34.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01045,AL,Dale County,4,5,4,5,"4,923","10,358","12,134","6,107",14.7,30.9,36.2,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01047,AL,Dallas County,4,5,4,5,"4,111","9,277","7,960","4,263",16.1,36.2,31.1,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01049,AL,DeKalb County,6,6,6,6,"10,615","15,809","15,129","6,753",22.0,32.7,31.3,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01051,AL,Elmore County,2,2,2,2,"7,213","17,958","16,842","14,620",12.7,31.7,29.7,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01053,AL,Escambia County,6,6,6,6,"5,050","11,056","6,384","3,213",19.6,43.0,24.8,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01055,AL,Etowah County,3,2,3,2,"10,591","24,104","24,718","12,775",14.7,33.4,34.2,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01057,AL,Fayette County,6,6,6,6,"1,829","4,934","3,387","1,422",15.8,42.6,29.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
